written	reading	set	level	meaning	clue	note
上	うえ	position	N5		The direction the sky lies in from where you stand.	
下	した	position	N5		The direction the ground lies in from where you stand.	
中	なか	position	N5		Within the walls of something, not out in the open.	
先	さき	position	N5		The sharp end of a pencil or a needle.	
前	まえ	position	N5		The side of you that your eyes face.	
北	きた	position	N5		The direction a compass needle points.	
南	みなみ	position	N5		The direction opposite the one a compass needle points.	
右	みぎ	position	N5		The side most people hold a pen with.	
外	そと	position	N5		Beyond the walls, where the weather is.	
左	ひだり	position	N5		The side most people do not hold a pen with.	
後	あと	position	N5		The side of you that your eyes cannot see.	
後ろ	うしろ	position	N5		The far end of a queue, away from the counter.	
東	ひがし	position	N5		The direction the sun rises from.	
西	にし	position	N5		The direction the sun sets into.	
上げる	あげる	actions	N5		To lift something so that it sits higher than it did.	
休む	やすむ	actions	N5		To stay away from work or school for the day.	
入る	はいる	actions	N5		To pass through a door and be indoors.	
入れる	いれる	actions	N5		To place something inside a container.	
出かける	でかける	actions	N5		To set off from home on an errand or an outing.	
出す	だす	actions	N5		To bring something from a bag and hand it over.	
出る	でる	actions	N5		To step from a room and be outdoors.	
書く	かく	actions	N5		To put letters on paper with a pen.	
来る	くる	actions	N5		To move towards where the speaker is standing.	
生まれる	うまれる	actions	N5		To arrive in the world as a baby.	
聞く	きく	actions	N5		To take a sound in through your ears.	
行く	いく	actions	N5		To move away from where the speaker is standing.	
見せる	みせる	actions	N5		To hold something up so another person can look at it.	
話す	はなす	actions	N5		To use your voice to say things to another person.	
読む	よむ	actions	N5		To take the sense off a printed page with your eyes.	
食べる	たべる	actions	N5		To put something in your mouth, chew it and swallow.	
お菓子	おかし	food	N5		Small sweet things eaten between meals.	
お金	おかね	objects	N5		Coins and notes you hand over to buy things.	
万年筆	まんねんひつ	objects	N5		A writing tool with a metal nib fed from an ink reservoir.	
上着	うわぎ	objects	N5		The outer garment you pull on before stepping into the cold.	
入口	いりぐち	places	N5		The opening in a building that you come in through.	
出口	でぐち	places	N5		The opening in a building that you go out through.	
名前	なまえ	people	N5		What you are called, written at the top of a form.	
図書館	としょかん	places	N5		A quiet building full of shelves, where reading is borrowed.	
国	くに	places	N5		A land with its own borders, flag and government.	
地下鉄	ちかてつ	places	N5		The railway that runs through tunnels under a city.	
外国	がいこく	places	N5		A land beyond your own borders.	
大使館	たいしかん	places	N5		The building in a capital where another nation's officials work.	
大学	だいがく	places	N5		The school you attend after eighteen, to earn a degree.	
学校	がっこう	places	N5		The building where children are taught on weekday mornings.	
帽子	ぼうし	objects	N5		What you wear on your head against the sun.	
廊下	ろうか	places	N5		The long narrow passage that rooms open onto.	
新聞	しんぶん	objects	N5		Folded sheets of cheap paper carrying the day's events.	
旅行	りょこう	places	N5		Going far from home for pleasure, suitcase in hand.	
本	ほん	objects	N5		Bound pages you work through from cover to cover.	
本棚	ほんだな	objects	N5		The furniture of flat boards where your reading stands upright.	
自動車	じどうしゃ	places	N5	automobile	The formal name for a four-wheeled machine with an engine.	
自転車	じてんしゃ	places	N5		Two wheels, a saddle and pedals you push with your feet.	
英語	えいご	describing	N5		The language spoken in London and in New York.	
話	はなし	actions	N5		A story, or the thing somebody is saying to you.	
車	くるま	places	N5	car	The everyday word for what you drive along a road.	
辞書	じしょ	objects	N5		The volume you open to find out what a word means.	
銀行	ぎんこう	places	N5		Where you keep your money and draw it out again.	
電気	でんき	objects	N5		What runs along a wire and makes a lamp glow.	
電話	でんわ	actions	N5		What you make when you dial a number and somebody answers.	
電車	でんしゃ	places	N5		Carriages running on rails, powered from an overhead wire.	
靴下	くつした	objects	N5		What you pull onto your feet before your shoes.	
飛行機	ひこうき	places	N5		A machine with wings that carries people through the sky.	
食べ物	たべもの	food	N5		Anything you put in your mouth to stay alive.	
食堂	しょくどう	places	N5		The room with a table where meals are taken.	
天気	てんき	nature	N5		Whether it is sunny, cloudy or pouring outside.	
山	やま	nature	N5		A great mass of rock rising high above the land.	
川	かわ	nature	N5		Water running downhill between two banks.	OpenJLPT writes 川/河
木	き	nature	N5		A tall plant with a trunk, branches and leaves.	
水	みず	nature	N5		The clear liquid you drink when you are thirsty.	
雨	あめ	nature	N5		Drops falling from the clouds, which is why you carry an umbrella.	
一緒	いっしょ	describing	N5		Doing something alongside somebody else rather than alone.	
元気	げんき	describing	N5		Full of health and spirit, in fine form.	
大きい	おおきい	describing	N5	big	Taking up much space; the plain form, which can end a sentence.	
大きな	おおきな	describing	N5	big, before a noun	Taking up much space; the form that only ever sits in front of a noun.	
大丈夫	だいじょうぶ	describing	N5		Nothing to worry about; everything is in order.	
大切	たいせつ	describing	N5		Worth taking care of, and not to be treated lightly.	
大好き	だいすき	describing	N5		Feeling a very strong fondness for something.	
小さい	ちいさい	describing	N5	small	Taking up little space; the plain form, which can end a sentence.	
小さな	ちいさな	describing	N5	small, before a noun	Taking up little space; the form that only ever sits in front of a noun.	
有名	ゆうめい	describing	N5		Known by name to a great many people.	
病気	びょうき	describing	N5		Being unwell enough to need a doctor.	
白	しろ	describing	N5	white	The colour of fresh snow, spoken of as a colour in itself.	
白い	しろい	describing	N5	white, describing	The colour of fresh snow, used to describe a thing.	
長い	ながい	describing	N5		Stretching a great distance from end to end.	
高い	たかい	describing	N5		Reaching far up, or else costing a great deal.	
一人	ひとり	people	N5		By yourself, with nobody else there.	
一昨年	おととし	calendar	N5		Two new year's celebrations back.	
一昨日	おととい	calendar	N5		Two sunrises back.	
上手	じょうず	describing	N5		Good at something, through practice.	
下手	へた	describing	N5		Bad at something, clumsy with it.	
二人	ふたり	people	N5		A pair of human beings, the smallest group there is.	
二十日	はつか	calendar	N5		The date nineteen days after the first of the calendar.	
二十歳	はたち	calendar	N5		The age at which a Japanese person is reckoned grown.	
今年	ことし	calendar	N5		The twelve months you are living through right now.	
今日	きょう	calendar	N5		The day you are living through, between yesterday and tomorrow.	
今朝	けさ	time	N5		The early hours of the day you are living through.	
八百屋	やおや	places	N5		The shop that sells vegetables and fruit.	
友達	ともだち	people	N5		Somebody you like and choose to spend your time with.	
大人	おとな	people	N5		A grown human, no longer a child.	
明日	あした	calendar	N5		The day that follows the one you are living through.	
昨日	きのう	calendar	N5		The day before the one you are living through.	
